category,subcategory,fact_name,value,unit,occurrences,has_conflict,confidence,rationale,signature
Environmental Impacts,Air,Temperature data period,1958 - 2023,,1,False,medium,Temperature data is relevant for assessing climate impacts but lacks specific context.,temperature_data_period
Environmental Impacts,Air,Monthly Temperature Variability data period,1958-2023,,1,False,medium,Temperature variability data relates to environmental conditions but lacks specificity.,monthly_temperature_variability_data_period
Environmental Impacts,Air,Air pollutants,"sulfur oxides (SOx/SO₂), nitrogen oxides (NOx), volatile organic compounds (VOCs), particulate matter (PM), carbon dioxide (CO₂), carbon monoxide (CO)",,1,False,high,Air pollutants are a key environmental impact factor.,air_pollutants
Environmental Impacts,Air,Maximum daytime sound level,70,dB(A),1,False,high,Sound levels are a key environmental impact measurement.,maximum_daytime_sound_level
Environmental Impacts,Air,Air emission limits for combustion sources,50,MWth,1,False,high,Air emission limits are a key environmental regulation.,air_emission_limits_for_combustion_sources
Environmental Impacts,Air,Temperature variability,Less variable,,1,False,medium,Temperature variability relates to environmental conditions but lacks specific context.,temperature_variability
Environmental Impacts,Air,Temperature data range,1958 to 2023,,1,False,medium,Temperature data is relevant for assessing climate impacts but lacks specific context.,temperature_data_range
Environmental Impacts,Air,Maximum monthly temperature range,30 to 32,°C,1,False,medium,Temperature range affects environmental conditions but is somewhat ambiguous in impact.,maximum_monthly_temperature_range
Environmental Impacts,Air,Minimum monthly temperature range,20 to 23,°C,1,False,medium,Temperature range affects environmental conditions but is somewhat ambiguous in context.,minimum_monthly_temperature_range
Environmental Impacts,Air,Temperature difference,8 to 10,°C,1,False,medium,Temperature differences can indicate air quality impacts but lack specific context.,temperature_difference
Environmental Impacts,Air,Dry season wind direction,south-southeast and south,,1,False,medium,Wind direction can influence air quality and environmental assessments.,dry_season_wind_direction
Environmental Impacts,Air,Wet season wind direction,west and west-northwest,,1,False,medium,Wind direction can influence air quality and environmental assessments.,wet_season_wind_direction
Environmental Impacts,Air,Wind speed exceeding,12,m/s,1,False,medium,"Wind speed can impact air quality and project feasibility, but context is needed for clarity.",wind_speed_exceeding
Environmental Impacts,Air,NO2 ambient air quality standard (1-year),40,mg/Nm³,1,False,high,Ambient air quality standards are critical environmental impact metrics.,no2_ambient_air_quality_standard_1_year
Environmental Impacts,Air,NO2 ambient air quality standard (1-hour),200,mg/Nm³,1,False,high,Ambient air quality standards are critical environmental impact indicators.,no2_ambient_air_quality_standard_1_hour
Environmental Impacts,Air,SO2 ambient air quality standard (24-hour),20,mg/Nm³,1,False,high,Ambient air quality standards are critical environmental impact indicators.,so2_ambient_air_quality_standard_24_hour
Environmental Impacts,Air,SO2 ambient air quality standard (10-minute),500,mg/Nm³,1,False,high,SO2 standards are critical for assessing air quality impacts.,so2_ambient_air_quality_standard_10_minute
Environmental Impacts,Air,Particulates PM10 ambient air quality standard (1-year),20,mg/Nm³,1,False,high,PM10 standards are critical for assessing air quality impacts.,particulates_pm10_ambient_air_quality_standard_1_year
Environmental Impacts,Air,Particulates PM10 ambient air quality standard (24-hour),50,mg/Nm³,1,False,high,PM10 standards are critical for assessing air quality impacts.,particulates_pm10_ambient_air_quality_standard_24_hour
Environmental Impacts,Air,Ozone O3 ambient air quality standard (8-hr daily max),100,mg/Nm³,1,False,high,Ambient air quality standards are critical environmental impact indicators.,ozone_o3_ambient_air_quality_standard_8_hr_daily_max
Environmental Impacts,Air,Noise level standard,70 dB(A),dB(A),1,False,high,Noise level standards are related to air quality and environmental impacts.,noise_level_standard
Environmental Impacts,Air,Temperature increase guideline value,<3,°℃,1,False,medium,Guideline values for temperature increase relate to environmental impacts but lack specific context.,temperature_increase_guideline_value
Environmental Impacts,Basic Info,Environmental feasibility of the project,environmentally feasible,,1,False,medium,Feasibility indicates environmental assessment but lacks specific metrics.,environmental_feasibility_of_the_project
Environmental Impacts,Biodiversity,SNAP,National System of Protected Areas,,1,False,medium,"Protected areas relate to biodiversity conservation, but context is limited.",snap
Environmental Impacts,Biodiversity,VEC,Valued Environmental Component,,1,False,medium,Valued Environmental Components relate to biodiversity and environmental considerations.,vec
Environmental Impacts,Biodiversity,Section 7.5 - Ecology and Biodiversity,Ecology and Biodiversity,,1,False,high,The section specifically addresses ecology and biodiversity issues.,section_75_ecology_and_biodiversity
Environmental Impacts,Biodiversity,Section 7.9 - Valued Environmental Components,Valued Environmental Components,,1,False,medium,"Valued Environmental Components relate to biodiversity and environmental considerations, but the specific context is unclear.",section_79_valued_environmental_components
Environmental Impacts,Biodiversity,Section 8.4 - Biodiversity Impact Management and Mitigation,Biodiversity Impact Management and Mitigation,,1,False,high,"The section specifically addresses biodiversity management, a key environmental concern.",section_84_biodiversity_impact_management_and_mitigation
Environmental Impacts,Biodiversity,Nearest Coral Reefs distance,40,km,2,True,medium,"Distance to coral reefs relates to biodiversity impacts, but context is needed for clarity.",nearest_coral_reefs_distance
Environmental Impacts,Biodiversity,Biodiversity impact,local ecosystems,,1,False,high,Biodiversity impact directly relates to environmental effects on ecosystems.,biodiversity_impact
Environmental Impacts,Biodiversity,Sensitive ecosystems classification,Category A,,1,False,high,Sensitive ecosystems classification directly relates to biodiversity impacts.,sensitive_ecosystems_classification
Environmental Impacts,Biodiversity,Number of Terrestrial and Marine Protected Areas,46,areas,1,False,high,Protected areas are critical for biodiversity conservation.,number_of_terrestrial_and_marine_protected_areas
Environmental Impacts,Biodiversity,Coastal feature at project site,mangrove forests,,1,False,high,Mangrove forests are critical coastal ecosystems impacting biodiversity.,coastal_feature_at_project_site
Environmental Impacts,Biodiversity,Ecological services provided by mangroves,"coastal protection, fisheries support, carbon sequestration",,1,False,high,Ecological services from mangroves are critical for biodiversity and environmental health.,ecological_services_provided_by_mangroves
Environmental Impacts,Biodiversity,Project area mangrove contribution,one tenth,fraction,1,False,medium,Mangrove contribution relates to biodiversity but lacks specific impact context.,project_area_mangrove_contribution
Environmental Impacts,Biodiversity,Discovery of new species,Timor Ground Snake,,1,False,high,Discovery of new species directly relates to biodiversity impacts.,discovery_of_new_species
Environmental Impacts,Biodiversity,Location of new species discovery,6.5,kilometers,1,False,medium,"Discovery of new species relates to biodiversity impacts, but location context is unclear.",location_of_new_species_discovery
Environmental Impacts,Biodiversity,Endangered species present,Timor Green-pigeon,,6,False,high,Presence of endangered species is a key biodiversity concern.,endangered_species_present
Environmental Impacts,Biodiversity,Critically Endangered species present,Hawksbill Seaturtle,,1,False,high,Presence of critically endangered species is a key biodiversity concern.,critically_endangered_species_present
Environmental Impacts,Biodiversity,Endangered migratory species present,Siberian Sandplover,,2,False,high,Presence of endangered species is a key biodiversity concern.,endangered_migratory_species_present
Environmental Impacts,Biodiversity,Marine biodiversity,Coral Triangle,,1,False,high,Marine biodiversity is a critical environmental aspect.,marine_biodiversity
Environmental Impacts,Biodiversity,Migratory species in open waters,tuna,,2,False,high,Migratory species are key indicators of biodiversity impacts.,migratory_species_in_open_waters
Environmental Impacts,Biodiversity,Project area critical habitat,likely critical habitat area,,1,False,medium,Critical habitat designation relates to biodiversity impacts but lacks specific data.,project_area_critical_habitat
Environmental Impacts,Biodiversity,Area of mangrove ecosystem restoration,580,hectares,1,False,high,Restoration of mangrove ecosystems directly relates to biodiversity impacts.,area_of_mangrove_ecosystem_restoration
Environmental Impacts,Biodiversity,Percentage of top crop planted: banana,11,percent,1,False,medium,Percentage of crop planted relates to land use and biodiversity impact.,percentage_of_top_crop_planted_banana
Environmental Impacts,Biodiversity,NGO focus on biodiversity,Konservasaun Flora and Fauna (KFF),,1,False,high,Focus on biodiversity is a clear environmental concern.,ngo_focus_on_biodiversity
Environmental Impacts,Biodiversity,Designation of Aubeon Lagoon,Critical Habitat,,1,False,high,Designation as Critical Habitat indicates significant biodiversity value.,designation_of_aubeon_lagoon
Environmental Impacts,Biodiversity,IUCN Critically Endangered species assessment,CR,,1,False,high,Assessment of critically endangered species is a key biodiversity concern.,iucn_critically_endangered_species_assessment
Environmental Impacts,Biodiversity,IUCN Endangered species assessment,EN,,1,False,high,Endangered species assessments are critical for biodiversity impact evaluations.,iucn_endangered_species_assessment
Environmental Impacts,Biodiversity,IUCN Vulnerable species assessment,Vulnerable,,1,False,high,Assessment of vulnerable species relates directly to biodiversity impacts.,iucn_vulnerable_species_assessment
Environmental Impacts,Biodiversity,Biodiversity Offset Plan initiation,BOP,,1,False,medium,Biodiversity offset plans relate to environmental management but lack specific context.,biodiversity_offset_plan_initiation
Environmental Impacts,Biodiversity,Anticipated ecological changes,substantial ecological changes,,1,False,medium,Ecological changes relate to biodiversity impacts but lack specific details.,anticipated_ecological_changes
Environmental Impacts,Biodiversity,Baseline Surveys Requirement,Extensive biological surveys,,1,False,medium,Biological surveys relate to biodiversity assessment but could also touch on other environmental aspects.,baseline_surveys_requirement
Environmental Impacts,Biodiversity,Critical Habitat Determination,Additional efforts required,,1,False,medium,"Critical habitat determination relates to biodiversity impacts, but the specifics are unclear.",critical_habitat_determination
Environmental Impacts,Biodiversity,Biodiversity Action Plan Requirement,Comprehensive Biodiversity Action/Management Plan,,1,False,high,Biodiversity Action Plans are critical for managing ecological impacts.,biodiversity_action_plan_requirement
Environmental Impacts,Biodiversity,Biodiversity Offsets Recommendation,Identify and implement biodiversity offsets,,1,False,high,Biodiversity offsets are directly related to environmental impact mitigation.,biodiversity_offsets_recommendation
Environmental Impacts,Biodiversity,Types of Vegetables,"corn, red beans, green beans, peanuts, long beans, potatoes, mustard greens, carrots, cassava leaves, pumpkin",,1,False,medium,Vegetable types relate to biodiversity but could also indicate agricultural practices.,types_of_vegetables
Environmental Impacts,Biodiversity,Types of Fruits,"banana, coconut, mango, pineapple, orange, jackfruit, papaya",,1,False,medium,Fruits indicate biodiversity but context is needed for impact assessment.,types_of_fruits
Environmental Impacts,Biodiversity,Development Programs,teak planting and mangrove protection programs,,1,False,medium,Development programs like planting and protection relate to biodiversity but could also have social aspects.,development_programs
Environmental Impacts,Emissions,KTA,Kilotonnes per Annum or thousand tonnes per year,,1,False,medium,KTA refers to emissions but lacks specific context for clarity.,kta
Environmental Impacts,Emissions,TPY,Tonnes Per Year,,1,False,medium,TPY is a unit of measurement typically used for emissions but lacks specific context here.,tpy
Environmental Impacts,Emissions,Greenhouse gas emissions,2.072 million,tonnes per year,1,False,high,Greenhouse gas emissions are a key measure of environmental impact.,greenhouse_gas_emissions
Environmental Impacts,Emissions,Refinery emissions,"300,000",tonnes per year,1,False,high,Refinery emissions are a direct measure of environmental impact.,refinery_emissions
Environmental Impacts,Emissions,Petrochemicals emissions,"1,772,000",tonnes per year,1,False,high,Petrochemical emissions are a significant environmental impact measure.,petrochemicals_emissions
Environmental Impacts,Emissions,Continuous gas flaring during operations,Not planned,,1,False,medium,"Gas flaring impacts air quality, but the lack of planning adds uncertainty.",continuous_gas_flaring_during_operations
Environmental Impacts,Emissions,NOx emission limit for FCCU,300,mg/Nm³,1,False,high,NOx emission limits are critical environmental regulatory measures.,nox_emission_limit_for_fccu
Environmental Impacts,Emissions,SOx emission limit for SRU,150,mg/Nm³,1,False,high,SOx emission limits are critical environmental regulatory measures.,sox_emission_limit_for_sru
Environmental Impacts,Emissions,SOx emission limit for FCCU,300,mg/Nm³,1,False,high,SOx emission limits are critical environmental regulatory measures.,sox_emission_limit_for_fccu
Environmental Impacts,Emissions,Particulates PM10 emission limit,25,mg/Nm³,1,False,high,Emission limits are critical environmental regulatory indicators.,particulates_pm10_emission_limit
Environmental Impacts,Emissions,Ozone O3 emission limit,5,mg/Nm³,1,False,high,Ozone emission limits are a specific measure of air quality impact.,ozone_o3_emission_limit
Environmental Impacts,Emissions,H2S emission limit,1,mg/Nm³,1,False,high,H2S emission limits are critical for assessing environmental impacts.,h2s_emission_limit
Environmental Impacts,Emissions,Vanadium emission limit,5,mg/Nm³,1,False,high,Emission limits are critical for assessing environmental impacts.,vanadium_emission_limit
Environmental Impacts,Emissions,CO2 emissions from complex,2.072 million tonnes per year,tonnes per year,1,False,high,CO2 emissions are a direct measure of environmental impact.,co2_emissions_from_complex
Environmental Impacts,Emissions,CO2 emissions from refinery,"300,000 tonnes per year",tonnes per year,1,False,high,CO2 emissions from a refinery are a direct measure of environmental impact.,co2_emissions_from_refinery
Environmental Impacts,Emissions,CO2 emissions from petrochemical complex,"1,772,000 tonnes per year",tonnes per year,1,False,high,CO2 emissions from a petrochemical complex are a direct measure of environmental impact.,co2_emissions_from_petrochemical_complex
